Date,Greenland AWP,Canada,USA 48,eastern Canada,Central Canada,Canadian Rockies,northern Canada,Alaska,US NE,US MidWest,US Pacific,US Rockies
1997-055,0.183,2.232,9.198,3.473,2.784,2.823,0.591,1.236,9.095,7.019,11.117,6.307
1997-056,0.197,2.297,9.307,3.554,2.862,2.906,0.625,1.294,9.139,7.18,11.198,6.318
1997-057,0.212,2.364,9.505,3.64,2.941,2.991,0.661,1.354,9.383,7.49,11.368,6.403
1997-058,0.229,2.432,9.597,3.724,3.022,3.077,0.698,1.363,10.153,7.363,11.539,6.496
1997-059,0.246,2.506,9.433,3.809,3.121,3.173,0.737,1.425,10.62,7.611,11.496,5.384
1997-060,0.264,2.577,9.743,3.897,3.204,3.263,0.777,1.488,11.106,8.152,11.886,5.461
1997-061,0.283,2.649,9.962,3.984,3.289,3.354,0.818,1.553,11.269,8.546,12.061,5.54
1997-062,0.304,2.729,10.478,4.098,3.375,3.447,0.861,1.62,11.433,9.136,12.238,6.411
1997-063,0.326,2.78,10.456,4.191,3.373,3.533,0.906,1.689,11.189,8.94,12.486,6.454
1997-064,0.348,2.855,10.777,4.28,3.459,3.628,0.951,1.759,11.173,9.167,12.666,7.09
1997-065,0.373,2.927,10.714,4.354,3.547,3.725,0.999,1.83,9.59,9.141,12.848,7.186
1997-066,0.398,2.987,10.93,4.379,3.636,3.823,1.047,1.904,9.725,9.497,13.03,7.293
1997-067,0.425,3.071,11.145,4.495,3.726,3.923,1.097,1.979,9.955,9.813,13.214,7.352
1997-068,0.453,3.143,11.48,4.558,3.817,4.024,1.149,2.055,10.467,10.01,13.432,8.03
1997-069,0.482,3.252,11.72,4.675,4.042,4.054,1.202,2.133,10.423,10.354,13.41,8.343
1997-070,0.513,3.335,11.864,4.77,4.137,4.156,1.256,2.212,10.59,10.524,13.541,8.411
1997-071,0.545,3.431,12.049,4.913,4.234,4.26,1.312,2.293,11.024,10.671,13.724,8.577
1997-072,0.579,3.524,12.249,5.01,4.331,4.418,1.369,2.463,11.482,10.81,13.907,8.826
1997-073,0.614,3.575,12.047,5.108,4.287,4.532,1.428,2.549,11.467,10.052,14.124,8.869
1997-074,0.651,3.642,12.028,5.134,4.384,4.639,1.488,2.636,11.518,9.775,14.309,8.945
1997-075,0.689,3.729,12.506,5.232,4.481,4.748,1.549,2.725,12.27,10.752,14.495,9.065
1997-076,0.729,3.833,12.761,5.389,4.579,4.858,1.612,2.766,12.477,11.173,14.68,9.226
1997-077,0.77,3.922,12.99,5.489,4.678,4.969,1.676,2.855,12.633,11.507,14.866,9.421
1997-078,0.812,4.029,13.283,5.589,4.847,5.08,1.741,2.947,12.817,11.81,15.051,9.902
1997-079,0.856,4.135,13.566,5.724,4.949,5.232,1.808,3.039,12.973,12.228,15.237,10.166
1997-080,0.902,4.241,13.946,5.825,5.108,5.346,1.875,3.133,13.129,12.63,15.442,10.86
1997-081,0.948,4.334,14.234,5.927,5.211,5.461,1.944,3.227,13.792,13.073,15.628,10.985
1997-082,0.997,4.412,14.223,5.972,5.315,5.576,2.014,3.323,13.786,12.799,15.813,11.11
1997-083,1.046,4.583,14.257,6.148,5.649,5.692,2.085,3.42,13.787,12.999,15.998,10.773
1997-084,1.097,4.663,14.461,6.22,5.726,5.808,2.158,3.517,13.944,13.173,16.41,11.063
1997-085,1.15,4.78,14.793,6.325,5.916,5.925,2.231,3.709,14.139,13.415,16.618,11.811
1997-086,1.203,4.878,15.048,6.428,6.026,6.043,2.305,3.81,14.637,13.801,16.805,11.939
1997-087,1.258,4.996,15.253,6.59,6.157,6.161,2.38,3.912,14.882,14.097,16.992,12.057
1997-088,1.314,5.103,15.481,6.698,6.294,6.282,2.457,4.015,15.051,14.244,17.198,12.477
1997-089,1.372,5.201,15.628,6.802,6.406,6.401,2.534,4.147,15.211,14.395,17.384,12.606
1997-090,1.43,5.303,15.861,6.906,6.527,6.52,2.612,4.252,15.37,14.805,17.568,12.726
1997-091,1.49,5.401,15.836,6.987,6.659,6.639,2.691,4.358,12.731,15.119,17.752,12.854
1997-092,1.551,5.541,16.156,7.152,6.843,6.795,2.77,4.464,13.781,15.55,18,12.994
1997-093,1.613,5.645,16.349,7.256,6.969,6.915,2.85,4.571,14.443,15.734,18.183,13.107
1997-094,1.676,5.746,16.543,7.362,7.082,7.035,2.931,4.678,15.221,15.891,18.364,13.227
1997-095,1.74,5.838,16.06,7.466,7.161,7.149,3.013,4.785,15.602,14.664,18.545,12.676
1997-096,1.805,5.897,15.467,7.609,7.064,7.269,3.095,4.893,16.477,13.111,18.724,12.133
1997-097,1.871,5.999,15.672,7.713,7.18,7.389,3.178,5.002,16.7,13.346,18.902,12.372
1997-098,1.937,6.089,16.161,7.818,7.244,7.508,3.261,5.082,16.482,14.387,19.079,12.638
1997-099,2.005,6.188,16.331,7.915,7.352,7.628,3.345,5.19,16.358,14.642,19.255,12.824
1997-100,2.074,6.288,16.393,8.018,7.46,7.747,3.429,5.299,17.605,14.497,19.428,12.684
1997-101,2.143,6.548,15.438,8.16,8.161,7.883,3.514,5.407,17.698,11.741,19.601,12.44
1997-102,2.213,6.67,15.442,8.261,8.332,8.04,3.599,5.645,17.851,11.538,19.772,12.563
1997-103,2.283,6.826,16.161,8.368,8.662,8.159,3.684,5.791,18.002,12.798,19.941,13.48
1997-104,2.355,6.954,16.518,8.564,8.779,8.277,3.77,5.839,18.415,13.651,20.084,13.441
1997-105,2.427,7.192,17.107,8.782,9.313,8.399,3.855,5.949,18.612,15.068,20.25,13.563
1997-106,2.499,7.301,17.937,8.922,9.417,8.516,3.941,6.059,19.426,16.748,20.414,14.135
1997-107,2.573,7.404,18.104,9.022,9.537,8.633,4.027,6.237,19.58,16.965,20.577,14.291
1997-108,2.646,7.613,18.852,9.169,10.036,8.749,4.113,6.465,19.667,18.882,20.737,14.502
1997-109,2.72,7.702,19.106,9.213,10.162,8.864,4.199,6.577,19.256,19.495,20.896,14.609
1997-110,2.795,7.831,19.255,9.299,10.403,8.979,4.285,6.736,18.856,19.744,21.053,14.831
1997-111,2.87,8.075,19.486,9.463,10.848,9.393,4.371,7.094,19.984,19.893,21.208,15.03
1997-112,2.956,8.179,19.613,9.56,10.971,9.521,4.457,7.198,20.127,20.038,21.36,15.143
1997-113,3.031,8.43,19.797,9.667,11.628,9.733,4.543,7.385,20.492,20.263,21.511,15.301
1997-114,3.107,8.73,20.042,10.137,12.116,9.896,4.629,7.5,21.7,20.52,21.66,15.394
1997-115,3.183,8.839,20.219,10.234,12.245,10.046,4.714,7.614,21.847,20.674,21.807,15.697
1997-116,3.26,8.942,20.394,10.33,12.373,10.16,4.799,7.727,21.992,20.812,21.951,16.018
1997-117,3.336,9.062,20.583,10.445,12.555,10.273,4.884,7.76,22.134,20.959,22.094,16.382
1997-118,3.412,9.505,20.954,11.145,13.172,10.774,4.968,7.861,23.284,21.15,22.431,17.069
1997-119,3.489,9.614,21.101,11.249,13.319,10.888,5.052,8.754,23.48,21.35,22.599,17.181
1997-120,3.565,9.706,21.198,11.306,13.447,11.001,5.135,8.874,23.312,21.504,22.737,17.282
1997-121,3.641,9.807,21.311,11.401,13.573,11.113,5.218,8.993,23.45,21.633,22.872,17.381
1997-122,3.717,9.907,21.338,11.494,13.698,11.223,5.301,9.11,23.587,21.759,23.004,17.151
1997-123,3.792,10.053,21.484,11.733,13.856,11.331,5.382,9.226,23.72,21.89,23.135,17.389
1997-124,3.868,10.983,21.629,11.882,17.266,11.438,5.463,10.134,23.883,22.057,23.263,17.563
1997-125,3.943,10.843,21.977,12.026,16.326,11.63,5.544,10.492,24.151,22.178,23.388,18.574
1997-126,4.017,10.968,22.081,12.115,16.463,11.903,5.623,11.197,24.279,22.299,23.511,18.665
1997-127,4.091,11.975,22.193,13.754,18.108,12.66,5.772,11.328,24.404,22.415,23.632,18.801
1997-128,4.164,12.19,22.313,13.85,18.254,12.997,6.079,11.457,24.429,22.528,23.75,19.006
1997-129,4.237,12.312,22.418,13.945,18.399,13.229,6.159,11.584,24.646,22.64,23.866,19.095
1997-130,4.309,12.611,22.515,14.409,18.928,13.337,6.238,12.163,24.763,22.757,23.979,19.183
1997-131,4.38,12.796,22.608,14.718,19.174,13.443,6.316,12.291,24.877,22.863,24.09,19.268
1997-132,4.45,12.902,22.717,14.832,19.314,13.547,6.393,12.417,25.247,22.962,24.198,19.351
1997-133,4.52,13.002,22.786,14.924,19.452,13.649,6.468,12.541,25.357,23.032,24.304,19.4
1997-134,4.588,13.15,22.924,15.013,19.587,13.872,6.642,12.924,25.465,23.168,24.407,19.635
1997-135,4.656,13.304,23.033,15.458,19.561,13.985,6.716,13.047,25.89,23.265,24.507,19.709
1997-136,4.722,13.507,23.122,15.896,19.612,14.082,6.889,13.167,25.994,23.359,24.699,19.803
1997-137,4.891,13.617,23.201,16.051,19.736,14.176,6.961,13.285,26.096,23.451,24.795,19.877
1997-138,4.838,13.612,23.279,16.087,19.815,14.269,6.819,13.342,26.195,23.54,24.888,19.949
1997-139,5.021,13.796,23.354,16.219,19.976,14.359,7.102,13.513,26.291,23.627,24.979,20.018
1997-140,5.084,13.882,23.427,16.3,20.092,14.447,7.17,13.623,26.384,23.711,25.067,20.086
1997-141,5.237,14.217,23.497,16.378,20.205,15.089,7.738,13.799,26.474,23.793,25.153,20.152
1997-142,5.298,14.254,23.566,16.454,20.314,15.081,7.709,13.904,26.562,23.872,25.235,20.216
1997-143,5.358,14.396,23.639,16.578,20.42,15.39,7.822,14.185,26.647,23.949,25.315,20.305
1997-144,5.416,14.536,23.708,16.65,20.524,15.683,7.976,15.068,26.729,24.024,25.393,20.384
1997-145,5.472,15.371,23.789,18.875,21.107,16.078,8.086,15.971,26.808,24.095,25.468,20.52
1997-146,5.527,15.351,23.849,18.586,21.206,16.159,8.149,16.077,26.885,24.165,25.54,20.576
1997-147,5.58,15.647,23.906,18.969,21.302,16.248,8.612,16.607,26.958,24.231,25.61,20.63
1997-148,5.679,15.725,23.961,19.04,21.394,16.349,8.674,16.893,27.029,24.296,25.677,20.682
1997-149,5.729,16.009,24.014,19.187,21.483,17.316,8.914,17.036,27.097,24.357,25.741,20.732
1997-150,5.777,16.066,24.076,19.286,21.569,17.245,8.973,17.184,27.163,24.416,25.803,20.821
1997-151,5.824,16.319,24.142,19.508,22.231,17.316,9.029,17.402,27.225,24.473,25.862,20.94
1997-152,5.869,16.478,24.195,19.923,22.312,17.385,9.083,17.493,27.285,24.527,25.918,21.007
1997-153,5.912,16.738,24.239,20.166,22.986,17.451,9.135,17.58,27.342,24.578,25.972,21.048
1997-154,5.954,16.798,24.281,20.223,23.062,17.514,9.185,17.663,27.396,24.627,26.023,21.088
1997-155,5.862,16.755,24.32,20.241,23.098,17.574,8.991,17.707,27.447,24.674,26.071,21.126
1997-156,6.031,17.662,24.403,20.763,24.9,17.698,9.883,17.941,27.496,24.718,26.117,21.341
1997-157,5.998,18.595,24.433,23.546,25.011,17.752,10.34,19.153,27.541,24.759,26.16,21.352
1997-158,5.89,18.605,24.466,23.567,25.071,17.803,10.286,19.941,27.584,24.798,26.201,21.384
1997-159,6.063,18.781,24.497,23.763,25.139,17.851,10.581,20.026,27.624,24.834,26.238,21.413
1997-160,6.092,19.107,24.644,24.504,25.26,17.986,10.812,20.094,27.661,24.868,26.274,21.907
1997-161,5.978,19.07,24.67,24.568,25.314,18.028,10.594,20.143,27.696,24.899,26.306,21.933
1997-162,6.145,19.207,24.698,24.644,25.364,18.067,10.885,20.214,27.727,24.928,26.336,21.969
1997-163,6.025,19.148,24.72,24.65,25.409,18.102,10.659,20.254,27.756,24.954,26.363,21.991
1997-164,6.046,19.321,24.74,24.685,25.703,18.134,10.911,20.303,27.782,24.978,26.388,22.01
1997-165,6.321,19.559,24.766,24.75,25.733,18.465,11.399,20.36,27.806,24.999,26.41,22.058
1997-166,6.194,19.501,24.777,24.745,25.766,18.562,11.165,20.385,27.826,25.017,26.429,22.054
1997-167,6.618,20.808,24.96,25.465,25.9,20.537,13.508,21.248,27.844,25.033,26.446,22.737
1997-168,6.367,20.189,24.805,24.981,25.925,18.604,12.879,20.462,27.859,25.047,26.46,22.095
1997-169,6.401,20.627,24.814,25.319,25.946,18.62,13.884,20.521,27.871,25.058,26.471,22.104
1997-170,6.556,20.827,24.852,25.367,25.962,18.633,14.42,20.541,27.88,25.066,26.48,22.232
1997-171,6.414,20.752,24.862,25.346,25.974,18.632,14.206,20.55,27.887,25.072,26.486,22.257
1997-172,6.547,20.737,24.844,25.352,25.982,18.49,14.213,20.56,27.89,25.076,26.49,22.18
1997-173,6.55,20.981,24.868,25.355,25.986,18.936,14.735,20.565,27.891,25.077,26.491,22.271
1997-174,6.682,20.566,24.863,25.448,25.947,19.347,13.286,21.046,27.889,25.075,26.489,22.258
1997-175,6.725,20.574,24.912,25.443,25.942,19.343,13.321,21.351,27.885,25.071,26.484,22.465
1997-176,6.661,20.844,24.983,25.482,25.97,20.482,13.575,21.341,27.877,25.064,26.478,22.762
1997-177,6.791,20.938,24.975,25.528,25.957,20.589,13.778,21.326,27.867,25.055,26.468,22.754
1997-178,6.646,21.009,24.964,25.449,25.939,20.573,14.072,21.251,27.854,25.043,26.456,22.744
1997-179,6.772,21.147,24.952,25.492,25.916,21.013,14.272,21.436,27.839,25.029,26.441,22.732
1997-180,6.622,21.09,24.937,25.622,25.889,20.989,14.032,21.428,27.82,25.012,26.423,22.717
1997-181,6.607,21.923,24.926,26.141,25.858,21.319,15.963,21.563,27.799,24.993,26.403,22.723
1997-182,6.724,21.966,24.932,26.122,25.823,21.287,16.146,21.522,27.775,24.972,26.381,22.806
1997-183,6.704,21.929,24.911,26.086,25.784,21.252,16.108,21.475,27.748,24.947,26.356,22.785
1997-184,6.682,21.929,24.887,26.055,25.743,21.474,16.065,21.493,27.719,24.921,26.328,22.761
1997-185,6.657,21.723,24.861,26.012,25.695,20.336,16.019,21.437,27.687,24.892,26.297,22.736
1997-186,6.789,21.625,24.833,25.964,25.643,20.396,15.778,21.375,27.652,24.86,26.264,22.708
1997-187,6.814,21.57,24.803,25.912,25.586,20.347,15.721,21.394,27.614,24.826,26.228,22.678
1997-188,6.859,21.998,24.785,25.963,25.526,21.164,16.636,21.237,27.573,24.789,26.19,22.703
1997-189,6.693,22.255,24.787,25.931,25.461,23.258,16.565,21.798,27.53,24.75,26.149,22.811
1997-190,6.456,22.279,24.75,25.868,25.392,23.189,16.764,21.714,27.484,24.708,26.106,22.775
1997-191,6.419,22.207,24.711,25.801,25.319,23.117,16.688,21.626,27.436,24.664,26.06,22.736
1997-192,6.519,22.192,24.67,25.714,25.242,23.04,16.803,21.533,27.384,24.618,26.011,22.694
1997-193,6.36,22.224,24.626,25.639,25.161,22.96,17.053,21.435,27.33,24.569,25.96,22.651
1997-194,6.317,22.232,24.597,25.561,25.076,23.014,17.176,21.317,27.273,24.517,25.906,22.669
1997-195,6.407,22.211,24.549,25.502,24.987,22.925,17.265,21.21,27.213,24.463,25.85,22.621
1997-196,6.967,22.675,24.499,25.416,24.894,22.832,18.813,21.098,27.151,24.407,25.791,22.571
1997-197,6.912,22.573,24.447,25.327,24.797,22.736,18.693,20.982,27.086,24.348,25.729,22.519
1997-198,6.428,22.405,24.395,25.234,24.696,22.635,18.388,20.861,27.018,24.286,25.665,22.476
1997-199,6.8,22.421,24.339,25.138,24.591,22.531,18.632,20.736,26.947,24.222,25.599,22.419
1997-200,6.738,22.314,24.286,25.038,24.474,22.521,18.486,20.607,26.874,24.156,25.529,22.383
1997-201,6.533,22.163,24.227,24.935,24.362,22.466,18.228,20.473,26.798,24.087,25.524,22.321
1997-202,6.592,22.168,24.18,24.828,24.263,22.806,18.253,20.335,26.719,24.016,25.45,22.325
1997-203,6.403,21.987,24.115,24.717,24.143,22.698,17.94,20.194,26.638,23.943,25.373,22.259
1997-204,6.367,21.868,24.048,24.603,24.019,22.573,17.821,20.052,26.554,23.866,25.293,22.195
1997-205,6.431,21.795,23.978,24.486,23.892,22.444,17.85,19.902,26.467,23.788,25.211,22.125
1997-206,6.501,21.724,23.906,24.366,23.761,22.311,17.886,19.799,26.378,23.707,25.126,22.053
1997-207,6.424,21.607,23.832,24.242,23.627,22.351,17.72,19.681,26.286,23.624,25.039,21.979
1997-208,6.232,21.413,23.755,24.114,23.489,22.21,17.411,19.519,26.191,23.538,24.949,21.902
1997-209,6.265,21.311,23.677,23.984,23.347,22.066,17.378,19.354,26.094,23.45,24.856,21.823
1997-210,6.184,21.158,23.596,23.85,23.203,21.919,17.201,19.185,25.994,23.359,24.762,21.743
1997-211,5.993,20.955,23.513,23.713,23.054,21.768,16.884,19.013,25.891,23.267,24.664,21.66
1997-212,6.016,20.841,23.428,23.573,22.903,21.614,16.836,18.837,25.786,23.171,24.565,21.574
1997-213,5.93,20.706,23.359,23.429,22.748,21.643,16.649,18.736,25.678,23.074,24.462,21.561
1997-214,5.843,20.539,23.307,23.283,22.59,21.482,16.459,18.553,25.567,22.974,24.358,21.62
1997-215,5.655,20.332,23.219,23.133,22.429,21.339,16.143,18.367,25.454,22.872,24.25,21.541
1997-216,5.567,20.16,23.13,22.981,22.265,21.171,15.949,18.178,25.338,22.767,24.141,21.469
1997-217,5.479,19.985,23.034,22.826,22.098,20.999,15.753,17.986,25.22,22.66,24.029,21.372
1997-218,5.496,19.814,22.954,22.667,21.927,20.825,15.572,17.791,25.099,22.551,23.914,21.346
1997-219,5.624,19.688,22.853,22.506,21.754,20.648,15.529,17.603,24.976,22.439,23.797,21.245
1997-220,5.458,19.521,22.75,22.342,21.578,20.468,15.373,17.402,24.85,22.326,23.678,21.141
1997-221,5.427,19.364,22.645,22.175,21.399,20.285,15.249,17.199,24.722,22.21,23.556,21.036
1997-222,5.327,19.152,22.538,22.006,21.209,19.963,15.035,16.994,24.591,22.092,23.432,20.928
1997-223,5.168,18.95,22.431,21.834,21.025,19.883,14.744,16.786,24.458,21.971,23.277,20.829
1997-224,5.068,18.749,22.316,21.659,20.838,19.672,14.517,16.576,24.322,21.849,23.149,20.704
1997-225,4.969,18.556,22.204,21.482,20.648,19.492,14.305,16.363,24.184,21.724,23.018,20.593
1997-226,4.923,18.35,22.088,21.302,20.456,19.101,14.147,16.148,24.043,21.597,22.885,20.478
1997-227,4.767,18.128,21.971,21.12,20.262,18.906,13.86,15.932,23.9,21.468,22.75,20.36
1997-228,4.719,17.946,21.851,20.935,20.065,18.708,13.7,15.737,23.755,21.337,22.612,20.24
1997-229,4.616,17.761,21.73,20.748,19.865,18.644,13.474,15.715,23.608,21.203,22.473,20.119
1997-230,4.51,17.554,21.606,20.559,19.664,18.44,13.247,15.491,23.458,21.068,22.331,19.995
1997-231,4.421,17.345,21.481,20.368,19.46,18.234,13.018,15.206,23.306,20.931,22.187,19.87
1997-232,4.318,17.124,21.353,20.174,19.254,18.027,12.76,14.979,23.151,20.792,22.041,19.742
1997-233,4.191,16.992,21.224,19.978,19.053,18.468,12.482,14.799,22.995,20.65,21.893,19.613
1997-234,4.09,16.778,21.093,19.781,18.844,18.249,12.254,14.569,22.836,20.507,21.743,19.482
1997-235,4.03,16.578,20.96,19.581,18.632,18.029,12.071,14.337,22.676,20.362,21.591,19.35
1997-236,3.928,16.108,20.825,19.38,18.419,17.808,11.09,14.104,22.513,20.215,21.437,19.215
1997-237,3.827,15.896,20.688,19.176,18.203,17.585,10.879,13.87,22.348,20.067,21.281,19.079
1997-238,3.725,15.683,20.549,18.971,17.987,17.36,10.668,13.635,22.182,19.916,21.123,18.941
1997-239,3.59,15.451,20.409,18.764,17.768,17.134,10.405,13.399,22.013,19.764,20.963,18.802
1997-240,3.491,15.237,20.267,18.556,17.548,16.906,10.195,13.163,21.842,19.61,20.802,18.66
1997-241,3.399,15.022,20.123,18.346,17.327,16.678,9.988,12.926,21.67,19.454,20.638,18.518
1997-242,3.302,14.771,19.978,18.135,17.104,16.448,9.673,12.689,21.495,19.297,20.473,18.373
1997-243,3.205,14.555,19.831,17.922,16.881,16.217,9.469,12.452,21.319,19.138,20.306,18.228
1997-244,2.478,14.329,19.682,17.708,16.656,15.985,9.234,12.214,21.141,18.978,20.138,18.08
1997-245,2.405,14.113,19.532,17.493,16.43,15.753,9.031,11.976,20.961,18.816,19.968,17.932
1997-246,2.331,13.902,19.387,17.276,16.203,15.56,8.829,11.738,20.78,18.652,19.821,17.804
1997-247,2.258,13.685,19.233,17.059,15.975,15.325,8.627,11.501,20.598,18.488,19.648,17.652
1997-248,2.182,13.467,19.079,16.84,15.747,15.09,8.425,11.263,20.414,18.322,19.473,17.5
1997-249,2.111,13.249,18.923,16.621,15.517,14.855,8.224,11.026,20.228,18.154,19.297,17.345
1997-250,2.04,13.012,18.765,16.401,15.288,14.618,7.968,10.744,20.041,17.986,19.12,17.19
1997-251,1.957,12.799,18.606,16.18,15.057,14.347,7.801,10.519,19.852,17.816,18.942,17.031
1997-252,1.875,12.545,18.446,15.959,14.827,13.91,7.581,10.225,19.663,17.645,18.762,16.873
1997-253,1.808,12.327,18.285,15.737,14.596,13.678,7.384,10.056,19.472,17.473,18.581,16.715
1997-254,1.856,12.119,18.123,15.514,14.364,13.446,7.213,9.823,19.279,17.3,18.399,16.555
1997-255,1.789,11.902,17.96,15.291,14.133,13.213,7.019,9.591,19.086,17.125,18.216,16.394
1997-256,1.722,11.686,17.796,15.068,13.902,12.981,6.827,9.361,18.892,16.951,18.032,16.233
1997-257,1.657,11.464,17.631,14.844,13.67,12.717,6.632,9.132,18.697,16.775,17.847,16.071
1997-258,1.593,11.128,17.465,14.62,13.439,12.463,6.095,8.882,18.501,16.599,17.661,15.908
1997-259,1.555,10.918,17.298,14.397,13.208,12.233,5.919,8.656,18.305,16.421,17.475,15.744
1997-260,1.492,10.709,17.13,14.173,12.977,12.004,5.745,8.432,18.107,16.244,17.288,15.58
1997-261,1.431,10.41,16.962,13.95,12.748,11.627,5.371,8.245,17.909,16.065,17.1,15.414
1997-262,1.371,10.191,16.793,13.727,12.502,11.13,5.293,7.99,17.71,15.886,16.911,15.251
1997-263,1.313,9.978,16.623,13.504,12.273,10.91,5.104,7.771,17.511,15.707,16.722,15.085
1997-264,1.255,9.76,16.452,13.281,12.045,10.474,4.991,7.444,17.311,15.527,16.533,14.918
1997-265,1.2,9.52,16.281,13.059,11.818,10.262,4.715,7.12,17.11,15.346,16.343,14.751
1997-266,1.145,9.322,16.11,12.838,11.592,10.052,4.562,6.914,16.91,15.166,16.153,14.584
1997-267,1.092,9.125,15.926,12.618,11.367,9.844,4.41,6.712,16.709,14.985,15.963,14.367
1997-268,1.041,8.93,15.754,12.398,11.143,9.636,4.261,6.489,16.509,14.805,15.773,14.197
1997-269,0.987,8.733,15.582,12.179,10.92,9.43,4.103,6.28,16.308,14.624,15.583,14.03
1997-270,0.939,8.539,15.41,11.961,10.699,9.213,3.959,6.05,16.107,14.444,15.392,13.863
1997-271,0.892,8.348,15.234,11.744,10.478,9.01,3.816,5.859,15.906,14.263,15.202,13.68
1997-272,0.85,8.055,15.062,11.512,10.267,8.809,3.374,5.768,15.706,14.083,15.012,13.513
1997-273,0.806,7.873,14.889,11.297,10.051,8.615,3.249,5.582,15.505,13.902,14.822,13.347
1997-274,0.764,7.684,14.717,11.084,9.835,8.357,3.126,5.4,15.305,13.722,14.632,13.18
1997-275,0.723,7.505,14.545,10.872,9.622,8.163,3.006,5.21,15.105,13.543,14.443,13.014
1997-276,0.575,7.328,14.374,10.662,9.409,7.971,2.888,5.028,14.906,13.363,14.254,12.848
1997-277,0.541,6.965,14.207,10.046,9.199,7.298,2.745,4.77,14.707,13.185,14.066,12.7
1997-278,0.509,6.758,14.04,9.849,8.99,6.882,2.625,4.421,14.51,13.007,13.879,12.552
1997-279,0.478,6.592,13.87,9.654,8.784,6.715,2.511,4.262,14.313,12.83,13.692,12.388
1997-280,0.45,6.427,13.7,9.46,8.58,6.538,2.401,4.098,14.116,12.654,13.506,12.224
1997-281,0.422,6.292,13.46,9.521,8.378,6.361,2.18,3.878,13.921,12.478,13.321,11.783
1997-282,0.395,6.134,13.239,9.326,8.178,6.201,2.081,3.731,13.726,12.302,13.136,11.415
1997-283,0.369,5.974,13.068,9.132,7.981,6.016,1.987,3.588,13.533,12.128,12.953,11.241
1997-284,0.346,5.812,12.894,8.94,7.782,5.821,1.891,3.445,13.34,11.956,12.771,11.052
1997-285,0.323,5.408,12.504,8.606,7.525,5.477,1.296,3.106,13.149,11.77,12.589,10.032
1997-286,0.302,5.242,12.202,8.423,7.221,5.332,1.236,2.851,12.955,11.187,12.409,9.891
1997-287,0.281,5.083,12.28,8.242,7.113,5.191,1.049,2.717,12.766,11.432,12.231,10.13
1997-288,0.262,4.682,12.129,8.064,5.993,5.052,0.887,2.608,12.579,11.274,12.053,10.006
1997-289,0.244,4.489,11.97,7.888,5.666,4.912,0.756,2.458,12.394,11.107,11.877,9.865
1997-290,0.227,4.369,11.86,7.712,5.524,4.778,0.703,2.356,12.21,10.944,11.703,9.908
1997-291,0.211,4.28,11.814,7.535,5.505,4.604,0.667,2.231,12.027,10.781,11.53,10.202
1997-292,0.196,4.178,11.656,7.378,5.394,4.476,0.63,2.135,11.846,10.618,11.359,10.054
1997-293,0.182,4.05,11.5,7.211,5.242,4.238,0.596,1.956,11.667,10.458,11.189,9.908
1997-294,0.169,3.751,11.385,6.76,4.648,3.992,0.612,1.862,11.493,10.286,11.021,9.934
1997-295,0.156,3.592,11.212,6.387,4.523,3.88,0.576,1.7,11.318,10.084,10.855,9.772
1997-296,0.144,3.509,11.079,6.201,4.497,3.77,0.544,1.623,11.126,9.978,10.691,9.644
